"		156",堡林,2019-05-13,51.9,28
"		156",堡林,2019-05-14,64.8,38
"		156",堡林,2019-05-15,60.4,31
"		156",堡林,2019-05-16,51,23
"		156",堡林,2019-05-17,67.8,36
"		156",堡林,2019-05-18,89.4,81
"		156",堡林,2019-05-19,87,73
"		156",堡林,2019-05-20,64.4,32
"		156",堡林,2019-05-21,55,24
"		156",堡林,2019-05-22,53.6,17
"		156",堡林,2019-05-23,62.4,17
"		156",堡林,2019-05-24,57,34
"		156",堡林,2019-05-25,61.5,31
"		156",堡林,2019-05-26,64.1,16
"		156",堡林,2019-05-27,98,87
"		156",堡林,2019-05-28,59.1,29
"		156",堡林,2019-05-29,63,34
"		156",堡林,2019-05-30,57.9,26
"		156",堡林,2019-05-31,76.4,46
"		156",堡林,2019-06-01,68,35
"		156",堡林,2019-06-02,57.6,29
"		156",堡林,2019-06-03,52.1,28
"		156",堡林,2019-06-04,59,33
"		156",堡林,2019-06-05,65.9,37
"		156",堡林,2019-06-06,85.3,62
"		156",堡林,2019-06-07,97.3,87
"		156",堡林,2019-06-08,85.9,62
"		156",堡林,2019-06-09,79.5,44
"		156",堡林,2019-06-10,86.4,68
"		156",堡林,2019-06-11,89.3,64
"		156",堡林,2019-06-12,80,40
"		156",堡林,2019-06-13,74.9,44
"		156",堡林,2019-06-14,85.3,60
"		156",堡林,2019-06-15,78.3,55
"		156",堡林,2019-06-16,78.9,54
"		156",堡林,2019-06-17,74.6,47
"		156",堡林,2019-06-18,75.5,58
"		156",堡林,2019-06-19,76.8,53
"		156",堡林,2019-06-20,75.1,50
"		156",堡林,2019-06-21,75,50
"		156",堡林,2019-06-22,84.4,55
"		156",堡林,2019-06-23,80,39
"		156",堡林,2019-06-24,74.8,46
"		156",堡林,2019-06-25,70.4,45
"		156",堡林,2019-06-26,93.9,70
"		156",堡林,2019-06-27,88,63
"		156",堡林,2019-06-28,81.3,56
"		156",堡林,2019-06-29,97.9,87
"		156",堡林,2019-06-30,88.5,66
"		156",堡林,2019-07-01,96.1,82
"		156",堡林,2019-07-02,78,47
"		156",堡林,2019-07-03,79.3,50
"		156",堡林,2019-07-04,75,39
"		156",堡林,2019-07-05,67.3,35
"		156",堡林,2019-07-06,64.6,31
"		156",堡林,2019-07-07,72.6,46
"		156",堡林,2019-07-08,75.6,45
"		156",堡林,2019-07-09,76.3,52
"		156",堡林,2019-07-10,92.8,72
"		156",堡林,2019-07-11,80.4,70
"		156",堡林,2019-07-12,73.9,46
"		156",堡林,2019-07-13,82.8,56
"		156",堡林,2019-07-14,80.4,53
"		156",堡林,2019-07-15,80.9,61
"		156",堡林,2019-07-16,83.9,56
"		156",堡林,2019-07-17,77.4,50
"		156",堡林,2019-07-18,92.8,79
"		156",堡林,2019-07-19,93.9,82
"		156",堡林,2019-07-20,96.6,90
"		156",堡林,2019-07-21,96.9,88
"		156",堡林,2019-07-22,90.9,66
"		156",堡林,2019-07-23,84.4,65
"		156",堡林,2019-07-24,89.5,81
"		156",堡林,2019-07-25,92.5,81
"		156",堡林,2019-07-26,90.8,76
"		156",堡林,2019-07-27,97.5,94
"		156",堡林,2019-07-28,93.3,82
"		156",堡林,2019-07-29,80.6,55
"		156",堡林,2019-07-30,85.1,66
"		156",堡林,2019-07-31,83,64
"		156",堡林,2019-08-01,80.3,47
"		156",堡林,2019-08-02,78.4,54
"		156",堡林,2019-08-03,75.6,50
"		156",堡林,2019-08-04,74.8,48
"		156",堡林,2019-08-05,78.5,54
"		156",堡林,2019-08-06,75.1,56
"		156",堡林,2019-08-07,80,55
"		156",堡林,2019-08-08,82.4,61
"		156",堡林,2019-08-09,76.9,53
"		156",堡林,2019-08-10,64.5,47
"		156",堡林,2019-08-11,77.6,59
"		156",堡林,2019-08-12,91,79
"		156",堡林,2019-08-13,80,58
"		156",堡林,2019-08-14,77.5,55
"		156",堡林,2019-08-15,84,68
"		156",堡林,2019-08-16,86.9,68
"		156",堡林,2019-08-17,83.4,57
"		156",堡林,2019-08-18,71.1,37
"		156",堡林,2019-08-19,68.3,41
"		156",堡林,2019-08-20,74.9,55
"		156",堡林,2019-08-21,89.1,71
"		156",堡林,2019-08-22,85,57
"		156",堡林,2019-08-23,79.8,49
"		156",堡林,2019-08-24,80.8,51
"		156",堡林,2019-08-25,84.4,58
"		156",堡林,2019-08-26,72.3,45
