시도,시군구,법정동,년도,월,전체호수,전력사용량
강원도,강릉시,남항진동,2019,12,0 ,0 
강원도,강릉시,내곡동,2019,1,71 ,38761 
강원도,강릉시,내곡동,2019,2,73 ,38532 
강원도,강릉시,내곡동,2019,3,73 ,31057 
강원도,강릉시,내곡동,2019,4,73 ,30252 
강원도,강릉시,내곡동,2019,5,73 ,24237 
강원도,강릉시,내곡동,2019,6,82 ,31444 
강원도,강릉시,내곡동,2019,7,84 ,37293 
강원도,강릉시,내곡동,2019,8,84 ,44792 
강원도,강릉시,내곡동,2019,9,85 ,36925 
강원도,강릉시,내곡동,2019,10,85 ,35533 
강원도,강릉시,내곡동,2019,11,86 ,41381 
강원도,강릉시,내곡동,2019,12,86 ,45128 
강원도,강릉시,노암동,2019,1,142 ,71147 
강원도,강릉시,노암동,2019,2,143 ,68937 
강원도,강릉시,노암동,2019,3,144 ,54371 
강원도,강릉시,노암동,2019,4,145 ,54729 
강원도,강릉시,노암동,2019,5,148 ,48400 
강원도,강릉시,노암동,2019,6,156 ,48998 
강원도,강릉시,노암동,2019,7,156 ,49711 
강원도,강릉시,노암동,2019,8,156 ,78491 
강원도,강릉시,노암동,2019,9,157 ,62402 
강원도,강릉시,노암동,2019,10,156 ,55546 
강원도,강릉시,노암동,2019,11,160 ,60464 
강원도,강릉시,노암동,2019,12,156 ,68466 
강원도,강릉시,담산동,2019,1,11 ,4138 
강원도,강릉시,담산동,2019,2,13 ,4539 
강원도,강릉시,담산동,2019,3,13 ,3412 
강원도,강릉시,담산동,2019,4,13 ,3466 
강원도,강릉시,담산동,2019,5,13 ,3334 
강원도,강릉시,담산동,2019,6,13 ,2738 
강원도,강릉시,담산동,2019,7,13 ,2643 
강원도,강릉시,담산동,2019,8,12 ,3804 
강원도,강릉시,담산동,2019,9,12 ,3703 
강원도,강릉시,담산동,2019,10,12 ,3339 
강원도,강릉시,담산동,2019,11,12 ,3645 
강원도,강릉시,담산동,2019,12,12 ,3981 
강원도,강릉시,대전동,2019,1,22 ,9542 
강원도,강릉시,대전동,2019,2,22 ,8962 
강원도,강릉시,대전동,2019,3,22 ,7132 
강원도,강릉시,대전동,2019,4,23 ,8409 
강원도,강릉시,대전동,2019,5,25 ,8724 
강원도,강릉시,대전동,2019,6,28 ,10168 
강원도,강릉시,대전동,2019,7,28 ,11156 
강원도,강릉시,대전동,2019,8,28 ,16747 
강원도,강릉시,대전동,2019,9,30 ,12740 
강원도,강릉시,대전동,2019,10,30 ,11107 
강원도,강릉시,대전동,2019,11,30 ,11325 
강원도,강릉시,대전동,2019,12,30 ,11810 
강원도,강릉시,두산동,2019,1,12 ,25639 
강원도,강릉시,두산동,2019,2,13 ,24983 
강원도,강릉시,두산동,2019,3,13 ,19895 
강원도,강릉시,두산동,2019,4,13 ,19286 
강원도,강릉시,두산동,2019,5,13 ,18893 
강원도,강릉시,두산동,2019,6,13 ,19596 
강원도,강릉시,두산동,2019,7,13 ,20063 
강원도,강릉시,두산동,2019,8,14 ,24251 
강원도,강릉시,두산동,2019,9,15 ,27618 
강원도,강릉시,두산동,2019,10,15 ,18681 
강원도,강릉시,두산동,2019,11,15 ,17656 
강원도,강릉시,두산동,2019,12,15 ,19322 
강원도,강릉시,명주동,2019,1,0 ,0 
강원도,강릉시,명주동,2019,2,0 ,0 
강원도,강릉시,명주동,2019,3,0 ,0 
강원도,강릉시,명주동,2019,4,0 ,0 
