날짜,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2019-02-15,67673,64885,63261,62532,62942,64353,67139,71262,78258,81471,81388,79791,75070,77523,78354,78254,78463,76634,75299,73421,71525,69724,69135,70267
2019-02-16,66603,63639,62137,61461,61655,62420,63587,64515,66859,67465,67769,66774,63448,63498,63370,62908,63619,64254,65968,65900,65281,64582,65118,66556
2019-02-17,63540,60876,59175,58537,58746,59344,59868,59807,58595,56707,56947,55971,54789,54804,54683,55305,57160,60120,63059,63667,63366,63016,63682,64033
2019-02-18,61086,58812,57533,57299,58121,60161,63475,69257,77517,80394,80088,78749,74292,77050,78765,78545,78906,77266,75807,73832,71606,69433,68743,69588
2019-02-19,65876,63372,62010,61524,62148,63774,66437,70773,78587,82517,82869,82150,77761,80012,79920,79123,78820,76621,75622,73996,72168,70124,69271,70392
2019-02-20,66654,63954,62296,61806,62270,63668,66357,70637,77297,79777,79003,77685,73245,75266,75577,75442,76013,74550,74067,72897,71413,69826,69219,70558
2019-02-21,66873,64088,62637,62057,62627,64161,66907,71156,76996,78291,77036,74861,69621,71941,72457,72517,73617,73162,73519,72493,70883,69185,68444,69518
2019-02-22,65763,63189,61907,61349,62005,63498,66178,70138,76233,77656,76391,74312,69565,72153,72780,72581,72846,71444,71466,70504,69059,67728,67269,68568
2019-02-23,65016,62414,60903,60222,60523,61334,62263,62948,63999,63634,62895,61284,58174,58518,58574,58456,59201,59688,61654,62073,61762,61397,61916,63318
2019-02-24,60233,57715,56307,55920,56276,57033,57632,57237,55885,54273,53943,52749,51709,51826,51824,52584,54256,56634,59681,60525,60377,60247,60764,60881
2019-02-25,57659,55344,54242,54131,55150,57367,60732,65854,72980,74848,73592,71461,66652,68849,69466,69633,70987,70361,71035,70238,68595,67276,66850,67522
2019-02-26,63768,61325,60151,59714,60570,62272,65192,69283,74084,74488,72692,70553,65835,68043,68655,68564,69889,70047,70949,70134,68615,67017,66136,66724
2019-02-27,62688,60200,58814,58316,59163,60816,63462,67336,73349,74792,73644,72057,67998,70616,71926,71503,71796,70512,70097,69296,67950,66509,65755,66530
2019-02-28,62820,60450,59194,58759,59526,61355,64058,67696,72596,73115,71599,69492,65044,67509,68451,68484,69468,68462,68655,68148,67003,65689,65353,66617
2019-03-01,62919,60300,58813,58289,58847,59875,60870,61447,62035,61310,60779,59593,56769,57812,58216,58686,59934,60840,62892,63532,63181,62847,63324,63308
2019-03-02,59908,57599,56353,55965,56472,57647,58617,59083,59454,58270,57981,56910,54911,55478,55822,56414,57009,57767,59330,59819,59279,58913,59513,60563
2019-03-03,57413,54913,53594,53138,53613,54557,55279,54924,54082,53143,53039,52245,52051,52681,53217,53964,54898,56371,58427,59211,58988,58610,58862,58602
2019-03-04,55231,53005,51991,51746,52867,55289,58877,64424,70995,71880,69966,68070,63915,65929,66804,67007,68331,69040,69886,69539,67720,66191,65682,66025
2019-03-05,62054,59639,58347,58250,59144,61014,64037,68219,73140,73603,72185,70621,66422,69055,70010,70230,71108,70974,71017,70305,68398,66763,65909,66194
2019-03-06,61988,59317,58009,57798,58676,60331,63111,67542,72858,73573,72248,70381,65986,68133,68854,68854,69692,69329,69796,69695,67969,66698,66065,66403
2019-03-07,62183,59678,58363,58201,59046,60763,63621,67692,72521,72780,71227,69604,65345,67295,67637,67554,68781,69504,70303,70247,68579,66932,66264,66821
2019-03-08,62814,60374,59153,58938,59665,61526,64435,68667,72390,71910,69881,67975,63374,65230,65784,65805,67347,67880,68932,68725,67266,66124,65732,66399
2019-03-09,62527,59982,58498,58126,58553,59686,60794,61203,61473,61013,60866,59661,56791,57553,57638,57371,57732,57990,59495,60232,59778,59468,59729,60732
2019-03-10,57282,54678,53350,52793,53104,54014,54589,54566,54830,55251,56083,55650,55029,55105,54923,55088,55625,56519,58321,59584,59149,58945,59387,59093
2019-03-11,55931,53651,52643,52540,53655,55786,59523,64749,70905,72149,71457,70406,66722,69583,70851,70835,71831,71451,71087,70143,68200,66306,65650,66091
2019-03-12,62124,59521,58342,58009,58787,60478,63375,67461,72728,73773,72838,71670,67559,69956,71427,72127,73101,72780,72789,72229,70113,68562,67760,68399
2019-03-13,64406,61754,60568,60207,60713,62492,65523,69489,73492,74136,73328,71983,67373,69054,69416,69393,70687,71242,71578,71672,69850,68411,67976,68494
2019-03-14,64626,62145,60819,60499,61200,62626,65350,69287,73378,73290,71824,70059,65569,67752,68800,69427,70937,71164,71326,70822,68766,66899,66292,67045
2019-03-15,63057,60471,59105,58872,59559,61123,63557,67960,73073,73568,72049,70381,66961,70020,70257,70072,71596,71079,70702,70195,68317,66931,66396,66891
2019-03-16,63088,60456,58937,58421,58772,59588,60458,60909,61467,61041,60982,59773,56858,57264,57328,57342,58031,58638,60280,61249,60696,60196,60530,61615
2019-03-17,58175,55807,54367,53766,54336,55246,55699,54897,53263,51928,52028,51380,50639,50485,50342,50952,52507,54853,57529,59480,59169,59211,59446,59300
2019-03-18,56146,53723,52937,52897,53795,56048,59617,64655,70780,72008,70772,68999,64855,67077,68023,68335,69459,69290,69533,69359,67372,65677,65080,65644
2019-03-19,61739,59260,58276,57942,58748,60608,63351,67015,70866,70472,68801,67146,62895,64874,65492,65662,67100,67385,67960,68252,66539,65104,64334,64796
2019-03-20,60713,58289,57080,56991,57767,59387,62118,65689,70528,71675,71189,70198,66874,69943,70850,70891,71557,70539,69442,68806,67099,65671,64938,65056
2019-03-21,60907,58116,56764,56549,57397,58985,61320,65263,70542,71884,71413,69732,65380,67616,68470,68271,69230,69226,69578,69692,67849,66218,65442,65813
2019-03-22,61962,59407,58285,57869,58631,60447,63085,67130,71617,71591,69698,67589,63283,65092,65710,65696,67335,67883,68571,68874,67167,65784,65257,65825
2019-03-23,62029,59370,57978,57426,57791,58877,59798,59997,59651,58765,58752,58796,57886,59858,59921,58785,58639,58653,60103,61356,61037,60501,60757,62006
2019-03-24,58659,56073,54499,54090,54444,55276,55686,54601,52156,51158,51151,50563,49618,49831,49797,50500,52168,54555,57228,59274,59210,59027,59148,58954
2019-03-25,55866,53556,52714,52493,53414,55544,58763,63875,70469,72375,71411,69700,65437,67766,68317,68066,69086,69077,69124,69136,67110,65416,64841,65136
2019-03-26,61294,58787,57556,57270,57843,59498,62041,65875,70390,70022,67679,65476,61226,63291,64003,64418,65907,66439,67008,67512,65965,64593,63938,64091
2019-03-27,60087,57719,56555,56271,57076,58680,61235,64410,68411,68679,67434,65710,61657,64181,65172,65614,66983,67048,67187,67187,65654,64390,63641,63805
2019-03-28,59740,57183,56000,55646,56450,58109,60830,64436,68444,68576,66784,65219,61683,63914,64922,65317,66621,67074,67824,68074,66424,64778,63668,63655
2019-03-29,59614,57133,56011,55788,56440,58249,60650,64064,67957,67884,66294,64399,60446,62457,63370,63573,65036,64938,65172,65595,64386,63298,62552,62780
2019-03-30,58608,56326,55163,54701,54946,56108,57017,57538,58419,58113,58998,58532,56556,57086,56774,56407,56870,57211,58742,59953,59480,58925,58950,59993
2019-03-31,56524,53973,52640,52009,52379,53218,53536,53223,52383,51863,52326,51996,51349,51529,51292,51469,52601,54620,57011,59005,59000,58726,58868,58519
2019-04-01,55404,53157,52035,51891,53006,55090,58531,62613,67367,68609,68143,67085,63511,66027,66633,66566,68041,68388,68646,68918,67012,65317,64610,65093
2019-04-02,61195,58830,57766,57455,58310,60227,62762,65648,69299,69102,67928,66207,62133,64282,65025,65601,67576,68085,68500,69375,67634,65931,65246,65649
2019-04-03,61536,59145,58071,57927,58699,60494,63002,65658,68911,68855,67652,65957,61854,63914,64455,64902,66407,66732,67296,68239,67121,65728,64962,65181
2019-04-04,61314,58935,57684,57502,58368,60075,62611,65224,68612,68424,67020,65321,61303,63280,63957,64467,65906,66325,67057,67803,67337,64952,64152,64398
2019-04-05,60452,58087,56890,56609,57271,58776,61096,64671,69317,69788,68423,66476,61724,63269,63858,64021,65042,64944,65062,65861,64866,63612,62985,63651
2019-04-06,59799,57284,55882,55487,55887,57018,57745,57387,57415,56831,57070,56416,54351,55578,56092,56255,56709,56746,57526,58596,58310,57817,57829,58535
2019-04-07,55077,52545,51267,50891,51240,52019,52406,52237,51950,51352,51349,50217,49818,50819,51843,52693,53251,54254,55674,57246,57243,56879,56943,56209
2019-04-08,52701,50694,49811,49850,50951,52977,56332,60074,64541,64827,64141,63164,59824,62118,63214,63767,65520,65755,66243,66789,65252,63772,63031,63067
2019-04-09,58963,56717,55747,55376,56020,57749,60183,63300,67015,67536,67228,67085,64843,68065,69386,69584,70499,70115,69482,69123,67084,65509,64616,64848
2019-04-10,60876,58334,57207,56883,57398,58950,61547,65837,71457,73010,72698,71907,67989,70024,70599,70019,70009,68972,67996,68198,66700,65132,64439,64794
2019-04-11,60894,58298,57168,56856,57446,58898,61245,63990,68128,68823,67429,66134,62417,64876,65930,65955,66798,66511,66606,67215,65922,64392,63369,63511
2019-04-12,59536,56994,55841,55568,56315,57975,60421,62903,65841,65346,64285,62920,59662,61998,62898,63047,64133,64081,64222,65075,64040,62833,62186,62567
2019-04-13,58741,56302,55055,54588,55111,56014,56542,56193,56204,55665,55736,54476,51913,52640,52468,52446,53296,54110,55479,57177,57338,56890,57015,57611
2019-04-14,54287,51947,50633,50121,50471,51181,51777,51585,51697,52129,53400,53732,53309,52837,51972,50958,51378,53031,54960,57040,57347,56998,56977,56641
2019-04-15,53602,51546,50588,50592,51405,53418,56574,59855,64385,64871,64130,62891,59190,61541,62433,62561,64124,64466,64668,65652,64440,63052,62128,62198
2019-04-16,58449,56373,55461,55169,55981,57589,59822,62022,64993,64824,63790,62792,59741,62325,63707,64358,65543,65115,65124,65846,64507,63098,61901,61814
2019-04-17,57931,55684,54691,54367,55004,56476,58942,61638,64858,64413,63469,62199,58907,61626,62476,62675,63883,63862,63754,64731,64023,62734,61698,61492
2019-04-18,57608,55351,54283,53994,54642,56045,58376,60690,63831,64390,64131,63512,60658,63512,64419,64485,65616,65467,65286,65665,64350,62852,61764,61528
2019-04-19,57660,55282,54030,53744,54535,55938,58363,61736,66177,67286,67098,66332,62787,64697,64993,64697,65186,64417,63851,64370,63375,62268,61345,61306
2019-04-20,57536,55164,53827,53316,53680,54557,55197,55081,55385,54791,54625,53836,51923,52706,52944,53442,54377,54868,55757,57019,56958,56494,56175,56384
2019-04-21,52884,50783,49614,49136,49364,49962,50533,50179,50165,50262,51137,50944,50385,50836,51016,51237,51772,52733,54180,56092,56357,55827,55237,54105
2019-04-22,50877,49021,48232,48038,48939,50734,53641,57114,61338,62343,62085,61499,58624,61495,62936,63606,65036,64571,64270,64977,63759,62149,60641,59997
2019-04-23,56231,54246,53358,53065,53598,54765,57183,60172,64385,65522,65763,65797,63197,66067,67187,67217,67676,66949,66242,66297,64794,63033,61410,60796
2019-04-24,56900,54869,53946,53557,54079,55221,57958,61510,65694,66578,66219,65515,62602,65330,66308,66293,66843,65644,64695,65384,64547,62869,61287,60624
2019-04-25,56747,54609,53669,53101,53480,54698,57454,61219,65915,67094,67202,66825,63866,66725,68031,67953,68406,67362,66439,66174,64733,63176,61857,61722
2019-04-26,57838,55548,54415,53911,54496,55611,58255,62009,66596,67838,68033,67697,64845,67793,68512,68457,68703,66901,65574,65490,64394,62952,62050,62196
2019-04-27,58248,55807,54323,53451,53684,54397,54930,54303,54226,53345,53211,52405,50598,51644,52266,52909,53667,53653,54546,56136,56284,55705,55329,55575
2019-04-28,52306,50128,48923,48446,48767,49273,50026,50411,50973,51558,51645,50465,49272,49457,49500,50209,51252,52521,53932,55784,56304,55881,55582,54617
2019-04-29,51440,49351,48663,48530,49303,51012,54106,58480,64239,66599,67333,67603,65250,67991,68904,68617,68650,67308,66320,66289,64910,63243,62010,61882
2019-04-30,57877,55725,54621,54285,54742,56100,58394,61242,65164,65866,65032,64131,60647,62897,63799,63909,64495,63876,63580,64351,63495,62224,61127,60718
2019-05-01,56940,54765,53747,53176,53441,54034,55132,55451,55782,54952,54723,53974,52579,53456,54052,54497,55580,56540,57572,59128,59257,58428,57501,57512
2019-05-02,54161,52219,51367,51057,51507,52763,55227,57858,61138,61548,61300,60552,57612,60320,61443,62137,63585,63808,63670,64347,63579,61989,60603,60172
2019-05-03,56460,54434,53391,52967,53491,54592,56593,58596,61058,61360,61015,60365,57666,60601,61800,62293,63488,63178,62389,62901,62291,60933,59521,59178
2019-05-04,55631,53671,52486,51846,52070,52560,53189,52788,53065,52862,53065,52809,51592,52770,53477,53755,54346,54212,54622,55770,55891,55300,54596,54724
